Gene	Phenotype
NONO	HP:0001999,HP:0011968,HP:0001263,HP:0008947,HP:0003186,HP:0004488
CLN6	HP:0007018,HP:0001260,HP:0002015,HP:0002141,HP:0002344,HP:0001152,HP:0001337
POGZ	HP:0000389,HP:0001531,HP:0001263,HP:0000365,HP:0001319,HP:0001513,HP:0000147
LGI1	HP:0001250
CLN6	HP:0002396,HP:0001260,HP:0001310,HP:0002066,HP:0002378,HP:0002344,HP:0001250
CLN6	HP:0000750,HP:0001288,HP:0001268,HP:0002344,HP:0002322,HP:0001250
RUNX1	HP:0000978,HP:0005406
ZEB2	HP:0000598,HP:0008513,HP:0001263,HP:0000637,HP:0001212,HP:0000520,HP:0001642,HP:0001250,HP:0002000,HP:0000322
KCNB1	HP:0000248,HP:0001288,HP:0001263,HP:0001376
CNOT1	HP:0001999,HP:3000001,HP:0000492,HP:0000581,HP:0000565,HP:0001508,HP:0011471,HP:0001263,HP:0001276,HP:0000629,HP:0001357,HP:0011220,HP:0000411,HP:0000407,HP:0012745,HP:0000319,HP:0001257,HP:0000506,HP:0012471,HP:0001873
AHDC1	HP:0001999,HP:0000035,HP:0000717,HP:0000518,HP:0000268,HP:0010864,HP:0001097,HP:0000256,HP:0001513,HP:0000648,HP:0004322,HP:0011098,HP:0000572
PTEN	HP:0001999,HP:0003319,HP:0000646,HP:0000739,HP:0001263,HP:0001385,HP:0001249,HP:0000278,HP:0004322
ATM	HP:0002099,HP:0001034,HP:0007565,HP:0100585
ATP1A3	HP:0001260,HP:0002141,HP:0002167,HP:0001250,HP:0001025
SOX2	HP:0001263,HP:0000252,HP:0001252,HP:0009792
TRAPPC9	HP:0006919,HP:0001999,HP:0001344,HP:0000729,HP:0000708,HP:0002750,HP:0010864,HP:0001270,HP:0000545,HP:0001513,HP:0001773,HP:0200055,HP:0000486
KAT6A	HP:0100490,HP:0005684,HP:0000348,HP:0000218,HP:0002553,HP:0000368,HP:0000252,HP:0000308,HP:0008551,HP:0001357,HP:0012736
CUL4B	HP:0012393,HP:0000708,HP:0100543,HP:0000365,HP:0002719,HP:0011108,HP:0001250,HP:0002360,HP:0001649
BMP4	HP:0001263,HP:0001028,HP:0000256,HP:0001252,HP:0010442,HP:0000520
NSD1	HP:0001263,HP:0000256,HP:0001287,HP:0001548,HP:0000767,HP:0001763,HP:0000403,HP:0001250,HP:0100309,HP:0001751
ACTG1	HP:0002474,HP:0001508,HP:0005950,HP:0001875,HP:0001762,HP:0000430
ZSWIM6	HP:0000234,HP:0000729,HP:0000490,HP:0001508,HP:0001263,HP:0000023,HP:0000767,HP:0011856,HP:0011098
MSTO1	HP:0001999,HP:0001760,HP:0002829,HP:0001251,HP:0000729,HP:0100543,HP:0000750,HP:0003236,HP:0001263,HP:0001270,HP:0001324,HP:0003198,HP:0002167,HP:0000722,HP:0002650,HP:0011098
CUL3	HP:0001638,HP:0002015,HP:0002153,HP:0000822,HP:0001513,HP:0002092,HP:0010535,HP:0005978
PPP3CA	HP:0000729,HP:0000708,HP:0002019,HP:0002020,HP:0001250
